Task,Model,Strategy,Accuracy_mean,Accuracy_std,Macro_F1_mean,Macro_F1_std,Weighted_F1_mean,Weighted_F1_std,G_Mean_mean,G_Mean_std,ROC_AUC_mean,ROC_AUC_std,Training_Time_mean,Seed_count
binary,LR,S0,0.8091871933148715,,0.7952228304683822,,0.8006345082003333,,0.7908595837079468,,0.9557885456487989,,51.45406723022461,1
binary,LR,S1,0.8372807656804159,,0.8312688072835831,,0.8344919999585981,,0.8266442665642789,,0.9563238306691055,,82.16675901412964,1
binary,LR,S2A,0.8375479764854492,,0.8315650966362641,,0.8347776605921454,,0.8269440476389209,,0.9561626719148336,,108.68293452262878,1
binary,RF,S0,0.8704756352329592,,0.8640570387109537,,0.8670464040670941,,0.8572654207635677,,0.9807422094290532,,127.69744658470154,1
binary,RF,S1,0.8703663217218093,,0.863995697747467,,0.8669745427418113,,0.8572431502357383,,0.980391597964328,,91.7529182434082,1
binary,RF,S2A,0.8850993538356896,,0.8805673946086896,,0.8829218206143864,,0.8743404348935542,,0.9808937320692263,,144.2601137161255,1
binary,XGB,S0,0.873621435164942,,0.8676666060919551,,0.8705074670044157,,0.8609715742831864,,0.9853670469640204,,132.0051143169403,1
binary,XGB,S1,0.9048850993538357,,0.9021915101707799,,0.903834120510619,,0.897280397356679,,0.9860030448033845,,102.40686750411987,1
binary,XGB,S2A,0.9005854345819365,,0.8974711963626444,,0.8992795337271396,,0.892084306533658,,0.985755161320325,,146.1956238746643,1
multi,LR,S0,0.6976388281591605,,0.3380009199237355,,0.7074308086900635,,0.6090904556095297,,0.9489383192556311,,256.97113609313965,1
multi,LR,S1,0.6205849487441092,,0.35375438354356914,,0.6848476257590828,,0.7284230727603056,,0.9421866189093807,,274.07481575012207,1
multi,LR,S2A,0.6229898459894088,,0.3579793481436783,,0.687310852883778,,0.7322444957025928,,0.9423771660661717,,343.9487748146057,1
multi,RF,S0,0.7505830053927999,,0.4823787491249704,,0.7842834657774792,,0.7016851921612801,,0.9440048254281521,,133.6669545173645,1
multi,RF,S1,0.7489068648885002,,0.4728625535241077,,0.7827299405770715,,0.696604717241606,,0.9430173805680214,,115.2402446269989,1
multi,RF,S2A,0.7276878977797211,,0.49258106182674544,,0.7683860663837573,,0.729296334584302,,0.91064921708899,,164.42178797721863,1
multi,XGB,S0,0.7679517077199631,,0.5072836203632196,,0.7813673765033784,,0.7247819076102077,,0.9630612100905104,,123.27348303794861,1
multi,XGB,S1,0.6862702229995628,,0.5128342627124204,,0.7401732734942467,,0.7948148755550177,,0.9587963138638808,,150.8622055053711,1
multi,XGB,S2A,0.6989870281300102,,0.515819460345403,,0.7500419786885238,,0.7865169573372476,,0.9578749685244421,,350.6173303127289,1
